inflows_all1,section_id,flow(veh/hr)
cong_state1_car,30109,0
cong_state2_car,30109,0
cong_state3_car,30109,0
cong_state4_car,30109,0
cong_state5_car,30109,0
cong_state6_car,30109,0
cong_state7_car,30109,0
cong_state8_car,30109,0
cong_state9_car,30109,0
cong_state10_car,30109,0
cong_state11_car,30109,0
cong_state12_car,30109,0
cong_state13_car,30109,0
cong_state14_car,30109,0
cong_state15_car,30109,0
cong_state16_car,30109,0
cong_state17_car,30109,0
cong_state18_car,30109,0
cong_state19_car,30109,0
cong_state20_car,30109,0
cong_state21_car,30109,0
cong_state22_car,30109,0
cong_state23_car,30109,0
cong_state24_car,30109,0
cong_state25_car,30109,0
cong_state26_car,30109,0
cong_state27_car,30109,0
cong_state28_car,30109,0
cong_state29_car,30109,0
cong_state30_car,30109,0
cong_state1_truck,30109,0
cong_state2_truck,30109,0
cong_state3_truck,30109,0
cong_state4_truck,30109,0
cong_state5_truck,30109,0
cong_state6_truck,30109,0
cong_state7_truck,30109,0
cong_state8_truck,30109,0
cong_state9_truck,30109,0
cong_state10_truck,30109,0
cong_state11_truck,30109,0
cong_state12_truck,30109,0
cong_state13_truck,30109,0
cong_state14_truck,30109,0
cong_state15_truck,30109,0
cong_state16_truck,30109,0
cong_state17_truck,30109,0
cong_state18_truck,30109,0
cong_state19_truck,30109,0
cong_state20_truck,30109,0
cong_state21_truck,30109,0
cong_state22_truck,30109,0
cong_state23_truck,30109,0
cong_state24_truck,30109,0
cong_state25_truck,30109,0
cong_state26_truck,30109,0
cong_state27_truck,30109,0
cong_state28_truck,30109,0
cong_state29_truck,30109,0
cong_state30_truck,30109,0
