time,speed (mph),count
05/01/2015 15:30,72.0,159.0
05/01/2015 15:35,69.0,181.0
05/01/2015 15:40,78.0,183.0
05/01/2015 15:45,74.0,176.0
05/01/2015 15:50,76.0,181.0
05/01/2015 15:55,73.0,180.0
05/01/2015 16:00,71.0,175.0
05/01/2015 16:05,74.0,206.0
05/01/2015 16:10,68.0,187.0
05/01/2015 16:15,64.0,195.0
05/01/2015 16:20,72.0,174.0
05/01/2015 16:25,74.0,176.0
05/01/2015 16:30,78.0,185.0
05/01/2015 16:35,78.0,173.0
05/01/2015 16:40,80.0,160.0
05/01/2015 16:45,75.0,167.0
05/01/2015 16:50,75.0,159.0
05/01/2015 16:55,78.0,123.0
05/01/2015 17:00,76.0,174.0
05/01/2015 17:05,78.0,196.0
05/01/2015 17:10,74.0,168.0
05/01/2015 17:15,77.0,132.0
05/01/2015 17:20,76.0,149.0
05/01/2015 17:25,77.0,173.0
05/01/2015 17:30,73.0,143.0
05/01/2015 17:35,78.0,147.0
05/01/2015 17:40,77.0,157.0
05/01/2015 17:45,76.0,128.0
05/01/2015 17:50,80.0,130.0
05/01/2015 17:55,79.0,161.0
