state,section_id,count/5min
cong_state1,21216,67,1.0
cong_state2,21216,67,1.0
cong_state3,21216,67,1.0
cong_state4,21216,67,1.0
cong_state5,21216,67,1.0
cong_state6,21216,133,1.0
cong_state7,21216,133,1.0
cong_state8,21216,133,1.0
cong_state9,21216,133,1.0
cong_state10,21216,133,1.0
cong_state11,21216,200.0,1.0
cong_state12,21216,200.0,1.0
cong_state13,21216,200.0,1.0
cong_state14,21216,200.0,1.0
cong_state15,21216,200.0,1.0
cong_state16,21216,267.0,1.0
cong_state17,21216,267.0,1.0
cong_state18,21216,267.0,1.0
cong_state19,21216,267.0,1.0
cong_state20,21216,267.0,1.0
cong_state21,21216,333,1.0
cong_state22,21216,333,1.0
cong_state23,21216,333,1.0
cong_state24,21216,333,1.0
cong_state25,21216,333,1.0
cong_state26,21216,400,1.0
cong_state27,21216,400,1.0
cong_state28,21216,400,1.0
cong_state29,21216,400,1.0
cong_state30,21216,400,1.0
