state,section_id,count/5min
cong_state1,21216,159.0,0.9
cong_state2,21216,181.0,0.9
cong_state3,21216,183.0,0.9
cong_state4,21216,176.0,0.9
cong_state5,21216,181.0,0.9
cong_state6,21216,180.0,0.9
cong_state7,21216,175.0,1.05
cong_state8,21216,206.0,1.1
cong_state9,21216,187.0,1.1
cong_state10,21216,195.0,1.1
cong_state11,21216,174.0,1.1
cong_state12,21216,176.0,1.15
cong_state13,21216,185.0,1.0
cong_state14,21216,173.0,0.9
cong_state15,21216,160.0,0.7
cong_state16,21216,167.0,0.7
cong_state17,21216,159.0,0.7
cong_state18,21216,123.0,0.7
cong_state19,21216,174.0,0.7
cong_state20,21216,196.0,0.7
cong_state21,21216,168.0,0.7
cong_state22,21216,132.0,0.7
cong_state23,21216,149.0,0.7
cong_state24,21216,173.0,0.7
cong_state25,21216,143.0,0.7
cong_state26,21216,147.0,0.7
cong_state27,21216,157.0,0.7
cong_state28,21216,128.0,0.7
cong_state29,21216,130.0,0.7
cong_state30,21216,161.0,0.7
